GeoFips,GeoName,Value
00998,United States,100
10180,"Abilene, TX (Metropolitan Statistical Area)",91.738
10420,"Akron, OH (Metropolitan Statistical Area)",92.059
10500,"Albany, GA (Metropolitan Statistical Area)",86.392
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",104.616
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",96.563
10740,"Albuquerque, NM (Metropolitan Statistical Area)",93.384
10780,"Alexandria, LA (Metropolitan Statistical Area)",86.169
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",98.047
11020,"Altoona, PA (Metropolitan Statistical Area)",89.014
11100,"Amarillo, TX (Metropolitan Statistical Area)",91.776
11180,"Ames, IA (Metropolitan Statistical Area)",88.45
11260,"Anchorage, AK (Metropolitan Statistical Area)",103.067
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",97.656
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",83.859
11540,"Appleton, WI (Metropolitan Statistical Area)",91.768
11700,"Asheville, NC (Metropolitan Statistical Area)",94.785
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",93.569
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",98.753
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",98.575
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",88.65
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",91.979
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",98.826
12540,"Bakersfield, CA (Metropolitan Statistical Area)",104.502
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",102.428
12620,"Bangor, ME (Metropolitan Statistical Area)",96.826
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",109.068
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",92.454
12980,"Battle Creek, MI (Metropolitan Statistical Area)",89.292
13020,"Bay City, MI (Metropolitan Statistical Area)",88.042
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",91.289
13220,"Beckley, WV (Metropolitan Statistical Area)",88.268
13380,"Bellingham, WA (Metropolitan Statistical Area)",105.915
13460,"Bend, OR (Metropolitan Statistical Area)",107.969
13740,"Billings, MT (Metropolitan Statistical Area)",91.731
13780,"Binghamton, NY (Metropolitan Statistical Area)",91.966
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",91.159
13900,"Bismarck, ND (Metropolitan Statistical Area)",91.082
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area)",93.086
14010,"Bloomington, IL (Metropolitan Statistical Area)",92.369
14020,"Bloomington, IN (Metropolitan Statistical Area)",92.955
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",89.142
14260,"Boise City, ID (Metropolitan Statistical Area)",94.215
