GeoFips,GeoName,Value
00998,United States,100.595
10180,"Abilene, TX (Metropolitan Statistical Area)",75.409
10420,"Akron, OH (Metropolitan Statistical Area)",76.598
10500,"Albany, GA (Metropolitan Statistical Area)",50.431
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",98.988
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",92.49
10740,"Albuquerque, NM (Metropolitan Statistical Area)",88.663
10780,"Alexandria, LA (Metropolitan Statistical Area)",48.026
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",102.924
11020,"Altoona, PA (Metropolitan Statistical Area)",53.618
11100,"Amarillo, TX (Metropolitan Statistical Area)",74.712
11180,"Ames, IA (Metropolitan Statistical Area)",65.712
11260,"Anchorage, AK (Metropolitan Statistical Area)",112.895
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",113.923
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",44.749
11540,"Appleton, WI (Metropolitan Statistical Area)",75.213
11700,"Asheville, NC (Metropolitan Statistical Area)",83.918
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",75.794
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",107.381
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",105.025
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",60.605
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",69.119
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",126.394
12540,"Bakersfield, CA (Metropolitan Statistical Area)",93.159
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",120.495
12620,"Bangor, ME (Metropolitan Statistical Area)",63.43
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",125.316
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",75.672
12980,"Battle Creek, MI (Metropolitan Statistical Area)",62.523
13020,"Bay City, MI (Metropolitan Statistical Area)",53.27
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",72.551
13220,"Beckley, WV (Metropolitan Statistical Area)",52.42
13380,"Bellingham, WA (Metropolitan Statistical Area)",109.501
13460,"Bend, OR (Metropolitan Statistical Area)",118.283
13740,"Billings, MT (Metropolitan Statistical Area)",81.919
13780,"Binghamton, NY (Metropolitan Statistical Area)",70.708
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",70.425
13900,"Bismarck, ND (Metropolitan Statistical Area)",78.767
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area)",75.973
14010,"Bloomington, IL (Metropolitan Statistical Area)",78.176
14020,"Bloomington, IN (Metropolitan Statistical Area)",80.88
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",54.858
14260,"Boise City, ID (Metropolitan Statistical Area)",102.47
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",150.302
14500,"Boulder, CO (Metropolitan Statistical Area)",150.559
14540,"Bowling Green, KY (Metropolitan Statistical Area)",63.322
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",130.281
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",153.402
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",54.33
15260,"Brunswick, GA (Metropolitan Statistical Area)",68.69
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",78.656
15500,"Burlington, NC (Metropolitan Statistical Area)",70.729
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",123.734
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",109.725
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",58.076
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",123.224
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",58.129
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",53.465
16180,"Carson City, NV (Metropolitan Statistical Area)",98.265
16220,"Casper, WY (Metropolitan Statistical Area)",78.985
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",75.877
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",74.712
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",73.293
16620,"Charleston, WV (Metropolitan Statistical Area)",50.224
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",110.987
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",93.908
16820,"Charlottesville, VA (Metropolitan Statistical Area)",97.39
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",79.655
16940,"Cheyenne, WY (Metropolitan Statistical Area)",94.118
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",110.883
17020,"Chico, CA (Metropolitan Statistical Area)",91.37
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",83.722
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",73.98
17420,"Cleveland, TN (Metropolitan Statistical Area)",64.999
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",82.729
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",99.719
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",79.836
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",119.462
17860,"Columbia, MO (Metropolitan Statistical Area)",64.971
17900,"Columbia, SC (Metropolitan Statistical Area)",78.876
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",60.931
18020,"Columbus, IN (Metropolitan Statistical Area)",66.458
18140,"Columbus, OH (Metropolitan Statistical Area)",87.646
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",86.41
18700,"Corvallis, OR (Metropolitan Statistical Area)",106.401
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",99.138
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",52.942
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",116.302
19140,"Dalton, GA (Metropolitan Statistical Area)",63.227
19180,"Danville, IL (Metropolitan Statistical Area)",57.307
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",75.226
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",68.715
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",72.851
19460,"Decatur, AL (Metropolitan Statistical Area)",55.371
19500,"Decatur, IL (Metropolitan Statistical Area)",56.621
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",105.02
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",145.767
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",87.533
