CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1
CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1
Metropolitan Statistical Area
GeoFips,GeoName,LineCode,Description,2022
00998,United States (Metropolitan Portion) *,1,All industry total,23080903727
00998,United States (Metropolitan Portion) *,3,"    Agriculture, forestry, fishing and hunting",123869693
00998,United States (Metropolitan Portion) *,6,"    Mining, quarrying, and oil and gas extraction",192523395
00998,United States (Metropolitan Portion) *,10,"    Utilities",330034661
00998,United States (Metropolitan Portion) *,11,"    Construction",992342266
00998,United States (Metropolitan Portion) *,12,"    Manufacturing",2265225691
00998,United States (Metropolitan Portion) *,34,"    Wholesale trade",1443131735
00998,United States (Metropolitan Portion) *,35,"    Retail trade",1450572659
00998,United States (Metropolitan Portion) *,36,"    Transportation and warehousing",825684816
00998,United States (Metropolitan Portion) *,45,"    Information",1357255052
00998,United States (Metropolitan Portion) *,50,"    Finance, insurance, real estate, rental, and leasing",4976683674
00998,United States (Metropolitan Portion) *,59,"    Professional and business services",3193093647
00998,United States (Metropolitan Portion) *,68,"    Educational services, health care, and social assistance",1984951911
00998,United States (Metropolitan Portion) *,75,"    Arts, entertainment, recreation, accommodation, and food services",983445275
00998,United States (Metropolitan Portion) *,82,"    Other services (except government and government enterprises)",490530757
00998,United States (Metropolitan Portion) *,83,Government and government enterprises,2471558493
10180,"Abilene, TX (Metropolitan Statistical Area)",1,All industry total,9468978
10180,"Abilene, TX (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",27847
10180,"Abilene, TX (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",288561
10180,"Abilene, TX (Metropolitan Statistical Area)",10,"    Utilities",333928
10180,"Abilene, TX (Metropolitan Statistical Area)",11,"    Construction",429133
10180,"Abilene, TX (Metropolitan Statistical Area)",12,"    Manufacturing",363410
10180,"Abilene, TX (Metropolitan Statistical Area)",34,"    Wholesale trade",642678
10180,"Abilene, TX (Metropolitan Statistical Area)",35,"    Retail trade",902428
10180,"Abilene, TX (Metropolitan Statistical Area)",36,"    Transportation and warehousing",211299
10180,"Abilene, TX (Metropolitan Statistical Area)",45,"    Information",294142
10180,"Abilene, TX (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",1731359
10180,"Abilene, TX (Metropolitan Statistical Area)",59,"    Professional and business services",697839
10180,"Abilene, TX (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",1203978
10180,"Abilene, TX (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",348130
10180,"Abilene, TX (Metropolitan Statistical Area)",82,"    Other services (except government and government enterprises)",307905
10180,"Abilene, TX (Metropolitan Statistical Area)",83,Government and government enterprises,1686341
10420,"Akron, OH (Metropolitan Statistical Area)",1,All industry total,44562456
10420,"Akron, OH (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",18204
10420,"Akron, OH (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",(D)
