"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
Metropolitan Statistical Area
GeoFips,GeoName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00998,United States (Metropolitan Portion),1.4,1.5,1.1,1.0,1.0,0.9,0.9,1.0,1.1,1.1,1.2,1.1,1.0,1.0,1.0,1.1,1.2,1.1,1.1,1.1,1.3,1.4,1.5,1.4,1.3,1.2,1.2,1.3,1.3,1.3,1.3,1.2,1.1,1.0,1.0,1.0,1.0,1.1,1.1,1.0,1.0,0.9,1.0,0.9,1.0,1.0,0.9,0.8,0.7,0.6,0.5,0.2,0.4,0.5
10180,"Abilene, TX (Metropolitan Statistical Area)",-2.1,1.9,2.9,-0.8,0.9,1.9,1.8,-0.2,1.1,1.6,2.6,2.3,3.9,2.7,0.4,-0.1,1.0,-0.9,-2.4,-0.5,-1.0,-0.3,1.7,2.0,0.6,1.5,0.2,0.7,0.5,0.9,0.3,-0.9,0.1,-0.1,0.8,0.4,0.4,0.4,0.3,0.8,1.1,0.8,0.7,0.2,0.7,1.0,0.4,0.4,0.6,0.7,1.0,0.5,1.0,1.1
10420,"Akron, OH (Metropolitan Statistical Area)",0.4,0.0,-0.3,-0.1,-0.9,0.4,-0.7,-0.8,-0.6,0.3,0.0,-0.2,-0.4,-0.3,-0.3,-0.5,-0.3,0.2,0.8,0.4,0.5,0.9,0.8,0.7,0.6,0.6,0.8,0.3,0.2,0.3,0.4,0.3,0.2,0.2,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,-0.1,0.2,0.2,-0.1,-0.1,0.1,0.0,-0.1,-0.2,-0.7,0.1,0.1
10500,"Albany, GA (Metropolitan Statistical Area)",2.3,3.1,3.4,1.6,-2.7,1.2,1.9,2.3,0.5,1.8,1.7,1.2,0.7,0.1,0.5,0.5,-0.4,-0.5,-0.6,-0.6,-0.7,0.8,1.5,1.2,0.8,0.5,1.0,0.7,0.5,0.1,0.0,0.1,-0.5,-0.2,0.1,0.0,0.4,0.1,0.1,0.4,-0.1,0.5,-0.2,-0.6,-0.3,-0.8,-0.6,-0.4,0.0,-0.6,-0.9,-2.2,0.6,-0.2
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",3.4,4.1,1.2,2.2,1.1,2.5,1.8,2.8,1.9,3.1,0.8,0.6,-0.5,-0.4,-0.2,-1.4,0.0,0.0,1.3,0.7,2.0,1.6,1.0,1.5,1.5,2.0,1.7,1.5,0.7,0.7,-0.4,0.5,1.0,1.4,0.7,1.2,2.4,2.0,1.8,0.9,0.7,0.9,-0.1,0.0,0.4,0.9,2.0,1.7,1.7,1.5,1.0,0.9,0.4,0.7
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1.2,1.5,1.5,0.3,-0.2,0.2,-0.2,0.2,0.3,-0.1,-0.6,0.1,0.2,0.5,0.3,0.5,0.6,0.3,0.8,0.7,0.9,0.9,0.7,0.4,0.4,0.0,-0.3,-0.4,-0.1,0.0,0.4,0.4,0.7,0.9,0.7,0.5,0.7,0.3,0.4,0.4,0.3,0.4,0.5,0.5,0.4,0.3,0.3,0.5,0.3,-0.1,0.1,0.6,-0.1,0.1
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",1.2,4.0,2.6,4.6,3.3,2.3,3.1,3.6,2.4,3.2,3.3,1.7,-4.3,2.2,2.1,2.1,2.6,2.8,1.7,1.7,1.4,2.3,2.7,2.7,3.0,2.7,1.8,1.4,1.1,0.7,1.3,1.3,2.1,1.9,2.2,2.6,2.7,2.2,1.6,1.5,1.5,0.9,0.4,0.3,-0.1,0.1,0.3,0.3,0.2,0.3,0.5,0.2,0.1,0.2
10780,"Alexandria, LA (Metropolitan Statistical Area)",0.7,3.4,0.5,1.9,0.1,0.7,1.9,1.7,0.9,1.5,1.5,0.4,0.1,0.7,0.3,-0.3,0.2,-0.7,-1.2,-0.8,-0.8,0.0,-1.0,-3.7,0.6,0.8,-0.1,0.0,0.2,0.3,0.3,-0.1,0.2,0.4,0.7,0.7,2.2,0.2,0.6,0.5,0.6,0.3,0.1,0.2,0.0,-0.2,0.1,-0.3,-0.4,-0.4,-0.8,-0.6,-1.2,-0.6
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",1.1,1.1,0.5,1.0,1.1,0.7,0.4,0.4,0.3,0.5,0.5,0.4,0.3,0.1,0.5,0.5,0.9,1.4,1.7,1.2,0.9,1.1,1.0,0.8,0.7,0.5,0.6,0.6,0.6,0.8,0.7,0.9,1.1,1.4,1.3,1.3,1.4,1.1,0.8,0.5,0.5,0.6,0.3,0.1,0.5,0.4,0.6,0.8,0.7,0.3,0.3,1.0,0.0,0.3
11020,"Altoona, PA (Metropolitan Statistical Area)",0.0,1.1,0.5,-0.8,0.3,-0.3,-0.4,0.7,0.5,0.2,-1.1,-0.7,0.1,-0.9,-1.1,-0.5,-0.5,0.1,-0.2,-0.7,0.0,0.4,0.1,0.3,0.4,-0.2,-0.5,-0.1,-0.3,-0.6,-0.6,-0.4,-0.7,-0.2,-0.1,-0.4,0.2,0.0,0.1,0.0,-0.1,0.1,-0.2,-0.4,-0.3,-0.4,-0.6,-0.4,-0.4,-0.4,-0.6,-0.4,-1.2,-0.4
