"Label (Grouping)","Total"
"Albany-Schenectady, NY CSA",""
"    Estimate","1,169,019"
"    Margin of Error","*****"
"Albuquerque-Santa Fe-Las Vegas, NM CSA",""
"    Estimate","1,156,289"
"    Margin of Error","*****"
"Altoona-Huntingdon, PA CSA",""
"    Estimate","167,640"
"    Margin of Error","±3"
"Amarillo-Pampa-Borger, TX CSA",""
"    Estimate","308,297"
"    Margin of Error","*****"
"Appleton-Oshkosh-Neenah, WI CSA",""
"    Estimate","407,758"
"    Margin of Error","*****"
"Asheville-Marion-Brevard, NC CSA",""
"    Estimate","538,785"
"    Margin of Error","*****"
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA",""
"    Estimate","6,770,764"
"    Margin of Error","±22"
"Bend-Prineville, OR CSA",""
"    Estimate","215,482"
"    Margin of Error","*****"
"Birmingham-Hoover-Talladega, AL CSA",""
"    Estimate","1,315,561"
"    Margin of Error","*****"
"Bloomington-Bedford, IN CSA",""
"    Estimate","213,724"
"    Margin of Error","*****"
"Bloomington-Pontiac, IL CSA",""
"    Estimate","207,921"
"    Margin of Error","*****"
"Bloomsburg-Berwick-Sunbury, PA CSA",""
"    Estimate","260,085"
"    Margin of Error","*****"
"Boise City-Mountain Home-Ontario, ID-OR CSA",""
"    Estimate","811,863"
"    Margin of Error","*****"
"Boston-Worcester-Providence, MA-RI-NH-CT CSA",""
"    Estimate","8,260,105"
"    Margin of Error","*****"
"Bowling Green-Glasgow, KY CSA",""
"    Estimate","230,940"
"    Margin of Error","*****"
"Brownsville-Harlingen-Raymondville, TX CSA",""
"    Estimate","443,554"
"    Margin of Error","*****"
"Buffalo-Cheektowaga-Olean, NY CSA",""
"    Estimate","1,205,768"
"    Margin of Error","*****"
"Burlington-Fort Madison-Keokuk, IA-IL-MO CSA",""
"    Estimate","104,513"
"    Margin of Error","*****"
"Burlington-South Burlington-Barre, VT CSA",""
"    Estimate","278,100"
"    Margin of Error","*****"
"Cape Coral-Fort Myers-Naples, FL CSA",""
"    Estimate","1,177,387"
"    Margin of Error","*****"
"Cape Girardeau-Sikeston, MO-IL CSA",""
"    Estimate","135,564"
"    Margin of Error","*****"
"Cedar Rapids-Iowa City, IA CSA",""
"    Estimate","444,653"
"    Margin of Error","*****"
"Charleston-Huntington-Ashland, WV-OH-KY CSA",""
"    Estimate","785,130"
"    Margin of Error","*****"
"Charlotte-Concord, NC-SC CSA",""
"    Estimate","2,754,842"
"    Margin of Error","*****"
"Chattanooga-Cleveland-Dalton, TN-GA CSA",""
"    Estimate","997,635"
"    Margin of Error","*****"
"Chicago-Naperville, IL-IN-WI CSA",""
"    Estimate","9,846,347"
"    Margin of Error","*****"
"Cincinnati-Wilmington-Maysville, OH-KY-IN CSA",""
"    Estimate","2,273,387"
"    Margin of Error","*****"
"Cleveland-Akron-Canton, OH CSA",""
"    Estimate","3,593,468"
"    Margin of Error","*****"
"Cleveland-Indianola, MS CSA",""
"    Estimate","57,012"
"    Margin of Error","*****"
"Clovis-Portales, NM CSA",""
"    Estimate","68,225"
"    Margin of Error","*****"
"Columbia-Moberly-Mexico, MO CSA",""
"    Estimate","257,353"
"    Margin of Error","*****"
"Columbia-Orangeburg-Newberry, SC CSA",""
"    Estimate","958,207"
"    Margin of Error","*****"
"Columbus-Auburn-Opelika, GA-AL CSA",""
"    Estimate","483,104"
"    Margin of Error","*****"
"Columbus-Marion-Zanesville, OH CSA",""
"    Estimate","2,504,267"
