"Geographic Area Name (Grouping)","4/1/2010 Census population!!Population","4/1/2010 population estimates base!!Population","7/1/2010 population estimate!!Population","7/1/2011 population estimate!!Population","7/1/2012 population estimate!!Population","7/1/2013 population estimate!!Population","7/1/2014 population estimate!!Population","7/1/2015 population estimate!!Population","7/1/2016 population estimate!!Population","7/1/2017 population estimate!!Population","7/1/2018 population estimate!!Population","7/1/2019 population estimate!!Population"
"Albany-Schenectady, NY CSA","1,168,485","1,168,502","1,168,901","1,169,156","1,170,241","1,171,171","1,171,007","1,170,550","1,169,639","1,171,385","1,170,564","1,167,594"
"Albuquerque-Santa Fe-Las Vegas, NM CSA","1,123,717","1,123,721","1,126,646","1,136,469","1,140,865","1,143,943","1,142,965","1,144,135","1,147,987","1,152,024","1,154,686","1,158,464"
"Altoona-Huntingdon, PA CSA","173,002","173,117","173,039","172,976","172,482","171,676","171,010","170,095","169,088","168,576","167,898","166,973"
"Amarillo-Pampa-Borger, TX CSA","297,547","297,652","298,272","301,586","303,686","304,732","307,073","307,586","308,166","308,721","308,474","308,731"
"Appleton-Oshkosh-Neenah, WI CSA","392,660","392,667","393,021","395,041","397,181","399,261","400,951","402,392","403,829","406,205","407,889","409,881"
"Asheville-Marion-Brevard, NC CSA","502,944","502,954","503,525","505,973","508,779","513,643","517,620","522,717","528,569","533,705","538,952","542,821"
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","6,054,858","6,054,822","6,072,152","6,138,897","6,220,472","6,290,742","6,377,941","6,480,729","6,592,510","6,687,694","6,770,187","6,853,392"
"Bend-Prineville, OR CSA","178,711","178,706","178,626","180,298","181,966","185,998","190,468","195,701","202,972","209,809","215,730","222,096"
"Birmingham-Hoover-Talladega, AL CSA","1,290,744","1,290,818","1,291,342","1,292,888","1,296,092","1,300,927","1,304,005","1,307,572","1,310,412","1,312,519","1,315,191","1,317,702"
"Bloomington-Bedford, IN CSA","205,683","205,664","206,234","207,863","208,968","209,117","210,073","210,641","212,233","213,021","213,722","214,600"
"Bloomington-Pontiac, IL CSA","208,522","208,522","208,664","209,714","211,232","212,431","211,141","209,746","209,177","208,878","208,124","207,165"
"Bloomsburg-Berwick-Sunbury, PA CSA","264,739","264,715","264,659","264,734","264,926","264,327","264,336","263,886","262,550","260,808","260,070","259,332"
"Boise City-Mountain Home-Ontario, ID-OR CSA","697,535","697,544","698,973","707,402","717,138","728,675","741,948","753,467","770,650","790,111","810,333","831,235"
"Boston-Worcester-Providence, MA-RI-NH-CT CSA","7,893,376","7,893,676","7,911,851","7,960,457","8,013,865","8,066,214","8,120,245","8,157,753","8,195,025","8,238,020","8,267,924","8,287,710"
"Bowling Green-Glasgow, KY CSA","210,871","210,890","211,604","213,376","215,040","217,550","219,661","222,978","225,685","228,820","231,049","233,560"
