"Label (Grouping)","Total"
"Albany-Schenectady, NY CSA",""
"    Estimate","1,194,635"
"    Margin of Error","*****"
"Albuquerque-Santa Fe-Las Vegas, NM CSA",""
"    Estimate","1,171,340"
"    Margin of Error","±3,268"
"Altoona-Huntingdon, PA CSA",""
"    Estimate","164,313"
"    Margin of Error","*****"
"Amarillo-Pampa-Borger, TX CSA",""
"    Estimate","315,021"
"    Margin of Error","±1,712"
"Appleton-Oshkosh-Neenah, WI CSA",""
"    Estimate","415,563"
"    Margin of Error","*****"
"Asheville-Marion-Brevard, NC CSA",""
"    Estimate","554,180"
"    Margin of Error","*****"
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA",""
"    Estimate","7,089,486"
"    Margin of Error","±3,965"
"Bend-Prineville, OR CSA",""
"    Estimate","232,924"
"    Margin of Error","*****"
"Birmingham-Hoover-Talladega, AL CSA",""
"    Estimate","1,352,565"
"    Margin of Error","*****"
"Bloomington-Bedford, IN CSA",""
"    Estimate","206,449"
"    Margin of Error","*****"
"Bloomington-Pontiac, IL CSA",""
"    Estimate","206,662"
"    Margin of Error","*****"
"Bloomsburg-Berwick-Sunbury, PA CSA",""
"    Estimate","255,546"
"    Margin of Error","*****"
"Boise City-Mountain Home-Ontario, ID-OR CSA",""
"    Estimate","902,866"
"    Margin of Error","±3,354"
"Boston-Worcester-Providence, MA-RI-NH-CT CSA",""
"    Estimate","8,435,040"
"    Margin of Error","±695"
"Bowling Green-Glasgow, KY CSA",""
"    Estimate","241,797"
"    Margin of Error","±2,046"
"Brownsville-Harlingen-Raymondville, TX CSA",""
"    Estimate","445,351"
"    Margin of Error","*****"
"Buffalo-Cheektowaga-Olean, NY CSA",""
"    Estimate","1,237,631"
"    Margin of Error","*****"
"Burlington-Fort Madison-Keokuk, IA-IL-MO CSA",""
"    Estimate","102,395"
"    Margin of Error","±1,964"
"Burlington-South Burlington-Barre, VT CSA",""
"    Estimate","288,318"
"    Margin of Error","±896"
"Cape Coral-Fort Myers-Naples, FL CSA",""
"    Estimate","1,261,786"
"    Margin of Error","*****"
"Cape Girardeau-Sikeston, MO-IL CSA",""
"    Estimate","133,289"
"    Margin of Error","±2,278"
"Cedar Rapids-Iowa City, IA CSA",""
"    Estimate","454,583"
"    Margin of Error","*****"
"Charleston-Huntington-Ashland, WV-OH-KY CSA",""
"    Estimate","762,436"
"    Margin of Error","±1,547"
"Charlotte-Concord, NC-SC CSA",""
"    Estimate","2,920,892"
"    Margin of Error","*****"
"Chattanooga-Cleveland-Dalton, TN-GA CSA",""
"    Estimate","1,020,178"
"    Margin of Error","±3,514"
"Chicago-Naperville, IL-IN-WI CSA",""
"    Estimate","9,805,843"
"    Margin of Error","±1,960"
"Cincinnati-Wilmington-Maysville, OH-KY-IN CSA",""
"    Estimate","2,326,603"
"    Margin of Error","±4,551"
"Cleveland-Akron-Canton, OH CSA",""
"    Estimate","3,598,304"
"    Margin of Error","*****"
"Clovis-Portales, NM CSA",""
"    Estimate","66,466"
"    Margin of Error","*****"
"Columbia-Moberly-Mexico, MO CSA",""
"    Estimate","263,805"
"    Margin of Error","±2,087"
"Columbia-Orangeburg-Newberry, SC CSA",""
"    Estimate","969,145"
"    Margin of Error","±2,178"
"Columbus-Auburn-Opelika, GA-AL CSA",""
"    Estimate","505,189"
"    Margin of Error","±2,898"
"Columbus-Marion-Zanesville, OH CSA",""
"    Estimate","2,565,032"
"    Margin of Error","*****"
"Columbus-West Point, MS CSA",""
"    Estimate","75,196"
"    Margin of Error","±2,059"
"Corpus Christi-Kingsville-Alice, TX CSA",""
"    Estimate","527,525"
"    Margin of Error","±4,008"
"Dallas-Fort Worth, TX-OK CSA",""
"    Estimate","8,449,932"
"    Margin of Error","*****"
"Davenport-Moline, IA-IL CSA",""
"    Estimate","466,990"
"    Margin of Error","±1,257"
"Dayton-Springfield-Kettering, OH CSA",""
"    Estimate","1,085,335"
"    Margin of Error","*****"
"Denver-Aurora, CO CSA",""
"    Estimate","3,663,515"
"    Margin of Error","*****"
"DeRidder-Fort Polk South, LA CSA",""
"    Estimate","83,817"
"    Margin of Error","*****"
"Des Moines-Ames-West Des Moines, IA CSA",""
"    Estimate","910,923"
"    Margin of Error","*****"
"Detroit-Warren-Ann Arbor, MI CSA",""
"    Estimate","5,368,296"
"    Margin of Error","*****"
"Dixon-Sterling, IL CSA",""
"    Estimate","88,506"
"    Margin of Error","*****"
"Dothan-Ozark, AL CSA",""
"    Estimate","202,061"
"    Margin of Error","*****"
"Eau Claire-Menomonie, WI CSA",""
"    Estimate","219,295"
"    Margin of Error","*****"
"Edwards-Glenwood Springs, CO CSA",""
"    Estimate","134,949"
"    Margin of Error","±1,495"
"Elmira-Corning, NY CSA",""
"    Estimate","174,025"
"    Margin of Error","*****"
"El Paso-Las Cruces, TX-NM CSA",""
"    Estimate","1,094,660"
"    Margin of Error","±1,271"
"Erie-Meadville, PA CSA",""
"    Estimate","350,359"
"    Margin of Error","*****"
"Fargo-Wahpeton, ND-MN CSA",""
"    Estimate","282,018"
"    Margin of Error","±805"
"Fayetteville-Sanford-Lumberton, NC CSA",""
"    Estimate","851,150"
"    Margin of Error","*****"
"Fort Wayne-Huntington-Auburn, IN CSA",""
"    Estimate","653,136"
"    Margin of Error","*****"
"Fresno-Madera-Hanford, CA CSA",""
"    Estimate","1,328,427"
"    Margin of Error","*****"
"Gainesville-Lake City, FL CSA",""
"    Estimate","422,811"
"    Margin of Error","±2,545"
"Grand Rapids-Kentwood-Muskegon, MI CSA",""
"    Estimate","1,432,693"
"    Margin of Error","*****"
"Green Bay-Shawano, WI CSA",""
"    Estimate","376,119"
"    Margin of Error","±465"
"Greensboro--Winston-Salem--High Point, NC CSA",""
"    Estimate","1,720,328"
"    Margin of Error","*****"
"Greenville-Kinston-Washington, NC CSA",""
"    Estimate","272,447"
"    Margin of Error","*****"
"Greenville-Spartanburg-Anderson, SC CSA",""
"    Estimate","1,537,109"
"    Margin of Error","*****"
"Harrisburg-York-Lebanon, PA CSA",""
"    Estimate","1,314,589"
"    Margin of Error","*****"
"Harrisonburg-Staunton, VA CSA",""
"    Estimate","263,331"
"    Margin of Error","*****"
"Hartford-East Hartford, CT CSA",""
"    Estimate","1,491,205"
"    Margin of Error","±2,228"
"Hattiesburg-Laurel, MS CSA",""
"    Estimate","252,928"
"    Margin of Error","±2,628"
"Hot Springs-Malvern, AR CSA",""
"    Estimate","133,292"
"    Margin of Error","*****"
"Houston-The Woodlands, TX CSA",""
"    Estimate","7,533,095"
"    Margin of Error","*****"
"Huntsville-Decatur, AL CSA",""
"    Estimate","671,890"
"    Margin of Error","*****"
"Idaho Falls-Rexburg-Blackfoot, ID CSA",""
"    Estimate","285,209"
"    Margin of Error","±1,965"
"Indianapolis-Carmel-Muncie, IN CSA",""
"    Estimate","2,525,204"
"    Margin of Error","±2,648"
"Ithaca-Cortland, NY CSA",""
"    Estimate","150,903"
"    Margin of Error","*****"
"Jackson-Brownsville, TN CSA",""
"    Estimate","198,217"
"    Margin of Error","±1,353"
"Jackson-Vicksburg-Brookhaven, MS CSA",""
"    Estimate","658,027"
"    Margin of Error","±2,582"
"Jacksonville-St. Marys-Palatka, FL-GA CSA",""
"    Estimate","1,807,412"
"    Margin of Error","*****"
"Johnson City-Kingsport-Bristol, TN-VA CSA",""
"    Estimate","522,332"
"    Margin of Error","±3,203"
"Johnstown-Somerset, PA CSA",""
"    Estimate","204,151"
"    Margin of Error","*****"
"Jonesboro-Paragould, AR CSA",""
"    Estimate","181,960"
"    Margin of Error","*****"
"Joplin-Miami, MO-OK CSA",""
"    Estimate","214,424"
"    Margin of Error","*****"
"Kalamazoo-Battle Creek-Portage, MI CSA",""
"    Estimate","499,867"
"    Margin of Error","*****"
"Kansas City-Overland Park-Kansas City, MO-KS CSA",""
"    Estimate","2,545,056"
"    Margin of Error","±1,993"
"Kennewick-Richland-Walla Walla, WA CSA",""
"    Estimate","373,359"
"    Margin of Error","*****"
"Kerrville-Fredericksburg, TX CSA",""
"    Estimate","81,218"
"    Margin of Error","*****"
"Knoxville-Morristown-Sevierville, TN CSA",""
"    Estimate","1,188,514"
"    Margin of Error","±1,911"
"Kokomo-Peru, IN CSA",""
"    Estimate","119,248"
"    Margin of Error","*****"
"Lafayette-Opelousas-Morgan City, LA CSA",""
"    Estimate","610,687"
"    Margin of Error","*****"
"Lafayette-West Lafayette-Frankfort, IN CSA",""
"    Estimate","259,093"
"    Margin of Error","±1,781"
"Lake Charles-Jennings, LA CSA",""
"    Estimate","238,662"
"    Margin of Error","±1,440"
"Las Vegas-Henderson, NV CSA",""
"    Estimate","2,377,723"
"    Margin of Error","*****"
"Lexington-Fayette--Richmond--Frankfort, KY CSA",""
"    Estimate","748,536"
"    Margin of Error","±2,738"
"Lima-Van Wert-Celina, OH CSA",""
"    Estimate","218,180"
"    Margin of Error","*****"
"Lincoln-Beatrice, NE CSA",""
"    Estimate","362,812"
"    Margin of Error","±1,621"
"Little Rock-North Little Rock, AR CSA",""
"    Estimate","920,160"
